run_id,ncbi_taxon_id,taxon_rank_level,relative_abundance,name,lineage,CDF,CDF1,CDF2,CDF3
ERR262958,2292908,species,0.001592,Lachnospiraceae bacterium OM02-26,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272;p__Bacillota__1239;c__Clostridia__186801;o__Lachnospirales__3085636;f__Lachnospiraceae__186803;n__unclassified Lachnospiraceae__186928;s__Lachnospiraceae bacterium OM02-26__2292908,0.9170941736899064,0.9751029020900546,0.9750883218314368,0.9750676868593988
ERR262958,186928,no rank,0.0314459999999997,unclassified Lachnospiraceae,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272;p__Bacillota__1239;c__Clostridia__186801;o__Lachnospirales__3085636;f__Lachnospiraceae__186803;n__unclassified Lachnospiraceae__186928,0.8844700439720651,0.2958944446271073,0.2952001482287686,0.2919013594409256
ERR262958,186803,family,0.3073419999999994,Lachnospiraceae,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272;p__Bacillota__1239;c__Clostridia__186801;o__Lachnospirales__3085636;f__Lachnospiraceae__186803,0.9001918601793647,0.0288600786950037,0.0288159909750059,0.0279493107780735
ERR262958,3085636,order,0.3073419999999994,Lachnospirales,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272;p__Bacillota__1239;c__Clostridia__186801;o__Lachnospirales__3085636,0.8980693180032723,0.0283249138428592,0.0282416225730032,0.0275358293701834
ERR262958,186801,class,0.4008079999999991,Clostridia,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272;p__Bacillota__1239;c__Clostridia__186801,0.7055229160551584,0.0201495801270747,0.0202244968760483,0.019919820680095
ERR262958,1239,phylum,0.4727909999999989,Bacillota,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272;p__Bacillota__1239,0.6895300476364382,0.0010377034013925,0.0010454305941971,0.001039162740753
ERR262958,1783272,clade,0.6824199999999989,Terrabacteria group,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272,0.8199745424388349,0.0003220625382352,0.0003308571949295,0.0003160938872633
ERR262958,2,superkingdom,0.9980019999999988,Bacteria,n__cellular organisms__131567;sk__Bacteria__2,0.7568706485891592,0.0002040399918384,0.0002040399918384,0.0002040399918384
ERR262958,131567,no rank,0.9980019999999988,cellular organisms,n__cellular organisms__131567,0.6991572004396619,0.0002040399918384,0.0002040399918384,0.0002040399918384
ERR262958,2292907,species,0.003136,Lachnospiraceae bacterium TF10-8AT,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272;p__Bacillota__1239;c__Clostridia__186801;o__Lachnospirales__3085636;f__Lachnospiraceae__186803;n__unclassified Lachnospiraceae__186928;s__Lachnospiraceae bacterium TF10-8AT__2292907,0.9177761491795036,0.929559261709049,0.9293553569363224,0.9291707231227496
