run_id,ncbi_taxon_id,taxon_rank_level,relative_abundance,name,lineage,CDF,Cheese,CowMilk,PlantBasedDiet,RedWine,GlutenFreeDiet,MediterraneanDiet,ProbioticContainingBifidobacterium,ProinflammatoryDiet
ERR478967,1239,phylum,0.7237678118559001,Bacillota,n__cellular organisms__131567;sk__Bacteria__2;k__Bacillati__1783272;p__Bacillota__1239,0.9412202838192936,0.971224443095273,0.9722052489884307,0.9894359843892704,0.9820345083435812,0.0077114762428261,0.042956881559023,0.1758787836364839,0.0099555273550729
ERR478967,2649774,no rank,0.0018977936895854,unclassified Parabacteroides,n__cellular organisms__131567;sk__Bacteria__2;cl__FCB group__1783270;cl__Bacteroidota/Chlorobiota group__68336;p__Bacteroidota__976;c__Bacteroidia__200643;o__Bacteroidales__171549;f__Tannerellaceae__2005525;g__Parabacteroides__375288;n__unclassified Parabacteroides__2649774,0.2624922387318882,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ERR478967,91061,class,0.0092735378020658,Bacilli,n__cellular organisms__131567;sk__Bacteria__2;k__Bacillati__1783272;p__Bacillota__1239;c__Bacilli__91061,0.797263038253936,0.5540224425462495,0.5417522113508162,0.5478701644440349,0.6775551399355191,n/a,n/a,0.6354083783748744,n/a
ERR478967,2,superkingdom,1.0000000000000002,Bacteria,n__cellular organisms__131567;sk__Bacteria__2,0.967353601305784,0.3595565586242607,0.0377314974594652,1.0,1.0,0.0010315615891714,1.0,0.0005906945587409,1.0
ERR478967,1783272,kingdom,0.8145282419556692,Bacillati,n__cellular organisms__131567;sk__Bacteria__2;k__Bacillati__1783272,0.9210458432569838,0.9267984806193886,0.9119869195626138,0.953972853451787,0.9853437887728396,0.0035263160296116,0.0446083796665258,0.2849704762762095,0.0064772688876617
ERR478967,301301,species,0.0087054020987955,Roseburia hominis,n__cellular organisms__131567;sk__Bacteria__2;k__Bacillati__1783272;p__Bacillota__1239;c__Clostridia__186801;o__Lachnospirales__3085636;f__Lachnospiraceae__186803;g__Roseburia__841;s__Roseburia hominis__301301,0.859116136520497,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ERR478967,278082,order,0.0003777551325097,Victivallales,n__cellular organisms__131567;sk__Bacteria__2;cl__PVC group__1783257;p__Lentisphaerota__256845;c__Lentisphaeria__1313211;o__Victivallales__278082,0.8580218072299949,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ERR478967,172900,genus,0.0003777551325097,Victivallis,n__cellular organisms__131567;sk__Bacteria__2;cl__PVC group__1783257;p__Lentisphaerota__256845;c__Lentisphaeria__1313211;o__Victivallales__278082;f__Victivallaceae__255528;g__Victivallis__172900,0.8755829812779108,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ERR478967,2719313,genus,0.0007374742109476,Enterocloster,n__cellular organisms__131567;sk__Bacteria__2;k__Bacillati__1783272;p__Bacillota__1239;c__Clostridia__186801;o__Lachnospirales__3085636;f__Lachnospiraceae__186803;g__Enterocloster__2719313,0.7253572689611989,0.995544872508758,0.995544872508758,0.995544872508758,0.995544872508758,n/a,n/a,n/a,n/a
ERR478967,255528,family,0.0003777551325097,Victivallaceae,n__cellular organisms__131567;sk__Bacteria__2;cl__PVC group__1783257;p__Lentisphaerota__256845;c__Lentisphaeria__1313211;o__Victivallales__278082;f__Victivallaceae__255528,0.8755829812779108,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ERR478967,208479,species,0.0002885768651534,Enterocloster bolteae,n__cellular organisms__131567;sk__Bacteria__2;k__Bacillati__1783272;p__Bacillota__1239;c__Clostridia__186801;o__Lachnospirales__3085636;f__Lachnospiraceae__186803;g__Enterocloster__2719313;s__Enterocloster bolteae__208479,0.6970763193270806,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ERR478967,420345,genus,0.0002615227840453,Lactonifactor,n__cellular organisms__131567;sk__Bacteria__2;k__Bacillati__1783272;p__Bacillota__1239;c__Clostridia__186801;o__Eubacteriales__186802;f__Clostridiaceae__31979;g__Lactonifactor__420345,0.9877707873585846,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ERR478967,1683,species,0.0077484892299707,Bifidobacterium angulatum,n__cellular organisms__131567;sk__Bacteria__2;k__Bacillati__1783272;p__Actinomycetota__201174;c__Actinomycetes__1760;o__Bifidobacteriales__85004;f__Bifidobacteriaceae__31953;g__Bifidobacterium__1678;s__Bifidobacterium angulatum__1683,0.9937506913978752,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
