run_id,ncbi_taxon_id,taxon_rank_level,relative_abundance,name,lineage,CDF,Cheese,CowMilk,PlantBasedDiet,RedWine,GlutenFreeDiet,MediterraneanDiet,ProbioticContainingBifidobacterium,ProinflammatoryDiet
ERR719231,1239,phylum,0.0772676124925972,Bacillota,n__cellular organisms__131567;sk__Bacteria__2;k__Bacillati__1783272;p__Bacillota__1239,0.0410271451419618,0.971224443095273,0.9722052489884307,0.9894359843892704,0.9820345083435812,0.0077114762428261,0.042956881559023,0.1758787836364839,0.0099555273550729
ERR719231,2649774,no rank,0.0060130320771863,unclassified Parabacteroides,n__cellular organisms__131567;sk__Bacteria__2;cl__FCB group__1783270;cl__Bacteroidota/Chlorobiota group__68336;p__Bacteroidota__976;c__Bacteroidia__200643;o__Bacteroidales__171549;f__Tannerellaceae__2005525;g__Parabacteroides__375288;n__unclassified Parabacteroides__2649774,0.5396088729547287,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ERR719231,2,superkingdom,1.0000000000000009,Bacteria,n__cellular organisms__131567;sk__Bacteria__2,0.9961232401549952,0.3595565586242607,0.0377314974594652,1.0,1.0,0.0010315615891714,1.0,0.0005906945587409,1.0
ERR719231,1783272,kingdom,0.0799700200100395,Bacillati,n__cellular organisms__131567;sk__Bacteria__2;k__Bacillati__1783272,0.0260222761343377,0.9267984806193886,0.9119869195626138,0.953972853451787,0.9853437887728396,0.0035263160296116,0.0446083796665258,0.2849704762762095,0.0064772688876617
ERR719231,28118,species,0.0047805659123907,Odoribacter splanchnicus,n__cellular organisms__131567;sk__Bacteria__2;cl__FCB group__1783270;cl__Bacteroidota/Chlorobiota group__68336;p__Bacteroidota__976;c__Bacteroidia__200643;o__Bacteroidales__171549;f__Odoribacteraceae__1853231;g__Odoribacter__283168;s__Odoribacter splanchnicus__28118,0.7088311996991568,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ERR719231,218538,species,0.030058146350848,Dialister invisus,n__cellular organisms__131567;sk__Bacteria__2;k__Bacillati__1783272;p__Bacillota__1239;c__Negativicutes__909932;o__Veillonellales__1843489;f__Veillonellaceae__31977;g__Dialister__39948;s__Dialister invisus__218538,0.9116553130216714,n/a,n/a,n/a,n/a,0.7549978302309452,0.7549978302309454,0.7549978302309452,0.7549978302309452
ERR719231,61170,genus,0.0004098200499197,Holdemania,n__cellular organisms__131567;sk__Bacteria__2;k__Bacillati__1783272;p__Bacillota__1239;c__Erysipelotrichia__526524;o__Erysipelotrichales__526525;f__Erysipelotrichaceae__128827;g__Holdemania__61170,0.6292312723438376,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ERR719231,28216,class,0.0196623443510464,Betaproteobacteria,n__cellular organisms__131567;sk__Bacteria__2;k__Pseudomonadati__3379134;p__Pseudomonadota__1224;c__Betaproteobacteria__28216,0.8067142332150793,n/a,n/a,n/a,n/a,0.1805083989316017,0.1811648442238857,n/a,n/a
ERR719231,1783270,clade,0.9003676356389142,FCB group,n__cellular organisms__131567;sk__Bacteria__2;cl__FCB group__1783270,0.9844606279988968,0.0179924033035784,0.0179924033035784,0.28760039033149,0.20652132186576,0.0803848335266927,0.1104539038917008,0.2342040760448842,0.0825287042384459
ERR719231,976,phylum,0.9003676356389142,Bacteroidota,n__cellular organisms__131567;sk__Bacteria__2;cl__FCB group__1783270;cl__Bacteroidota/Chlorobiota group__68336;p__Bacteroidota__976,0.9844606279988968,0.0179924033035784,0.0179924033035784,0.28760039033149,0.20652132186576,0.0803848335266927,0.1104539038917008,0.2342040760448842,0.0825287042384459
