run_id,ncbi_taxon_id,taxon_rank_level,relative_abundance,name,lineage,CDF,CDF1,CDF2,CDF3
SRR5936079,411475,strain,0.0636,Flavonifractor plautii ATCC 29863,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272;p__Bacillota__1239;c__Clostridia__186801;o__Eubacteriales__186802;f__Oscillospiraceae__216572;g__Flavonifractor__946234;s__Flavonifractor plautii__292800;st__Flavonifractor plautii ATCC 29863__411475,0.9995333465606832,0.9768567235817324,0.9768213478760877,0.9768637540958576
SRR5936079,292800,species,0.0636,Flavonifractor plautii,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272;p__Bacillota__1239;c__Clostridia__186801;o__Eubacteriales__186802;f__Oscillospiraceae__216572;g__Flavonifractor__946234;s__Flavonifractor plautii__292800,0.9990557324387164,0.9154440151804928,0.915369251998233,0.9154569500299462
SRR5936079,946234,genus,0.0659,Flavonifractor,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272;p__Bacillota__1239;c__Clostridia__186801;o__Eubacteriales__186802;f__Oscillospiraceae__216572;g__Flavonifractor__946234,0.9990799927574636,0.9065385402198916,0.9064205165476742,0.9065782501619186
SRR5936079,216572,family,0.1635999999999998,Oscillospiraceae,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272;p__Bacillota__1239;c__Clostridia__186801;o__Eubacteriales__186802;f__Oscillospiraceae__216572,0.7128875358995672,0.0373591875133583,0.0377786514607317,0.0368519150803399
SRR5936079,186802,order,0.2079999999999997,Eubacteriales,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272;p__Bacillota__1239;c__Clostridia__186801;o__Eubacteriales__186802,0.7270514682264386,0.0288149090614678,0.0297074654494849,0.0283842078899248
SRR5936079,186801,class,0.5117999999999996,Clostridia,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272;p__Bacillota__1239;c__Clostridia__186801,0.849517527787876,0.021965325849362,0.021988318301534,0.0217940801749662
SRR5936079,1239,phylum,0.7901999999999993,Bacillota,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272;p__Bacillota__1239,0.9706968655300404,0.0034517073126736,0.0034492963726641,0.0031919219697345
SRR5936079,1783272,clade,0.8270999999999993,Terrabacteria group,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272,0.9232899649507328,0.0010575061598065,0.001070068803089,0.0010177177933398
SRR5936079,2,superkingdom,0.9979999999999992,Bacteria,n__cellular organisms__131567;sk__Bacteria__2,0.623488457310321,0.0002040399918384,0.0002040399918384,0.0002040399918384
SRR5936079,131567,no rank,0.9979999999999992,cellular organisms,n__cellular organisms__131567,0.5349945034810918,0.0002040399918384,0.0002040399918384,0.0002040399918384
