run_id,ncbi_taxon_id,taxon_rank_level,relative_abundance,name,lineage,CDF,GlutenFreeDiet,MediterraneanDiet,ProbioticContainingBifidobacterium,ProinflammatoryDiet
ERR262943,1440766,strain,0.0007937189945316,Xanthomonas pisi DSM 18956,n__cellular organisms__131567;sk__Bacteria__2;k__Pseudomonadati__3379134;p__Pseudomonadota__1224;c__Gammaproteobacteria__1236;o__Lysobacterales__135614;f__Lysobacteraceae__32033;g__Xanthomonas__338;s__Xanthomonas pisi__56457;st__Xanthomonas pisi DSM 18956__1440766,1.0,1.0,1.0,1.0,1.0
ERR262943,1239,phylum,0.0170771371972572,Bacillota,n__cellular organisms__131567;sk__Bacteria__2;k__Bacillati__1783272;p__Bacillota__1239,0.0083300312203183,0.0083300312203183,0.0109020602991314,0.0083300312203183,0.0083300312203183
ERR262943,2,superkingdom,1.0,Bacteria,n__cellular organisms__131567;sk__Bacteria__2,0.9096102836155228,0.967353601305784,0.9096102836155228,0.9096102836155228,0.967353601305784
ERR262943,1783272,kingdom,0.029654278903528,Bacillati,n__cellular organisms__131567;sk__Bacteria__2;k__Bacillati__1783272,0.0060471712113931,0.0060471712113931,0.0060471712113931,0.0060471712113931,0.0060471712113931
ERR262943,32033,family,0.0017885753621492,Lysobacteraceae,n__cellular organisms__131567;sk__Bacteria__2;k__Pseudomonadati__3379134;p__Pseudomonadota__1224;c__Gammaproteobacteria__1236;o__Lysobacterales__135614;f__Lysobacteraceae__32033,0.9988977654520984,0.9988977654520984,0.9988977654520984,0.9988977654520984,0.9988977654520984
ERR262943,218538,species,0.0026713400086773,Dialister invisus,n__cellular organisms__131567;sk__Bacteria__2;k__Bacillati__1783272;p__Bacillota__1239;c__Negativicutes__909932;o__Veillonellales__1843489;f__Veillonellaceae__31977;g__Dialister__39948;s__Dialister invisus__218538,0.7549978302309452,0.7549978302309452,0.7549978302309454,0.7549978302309452,0.7549978302309452
ERR262943,135614,order,0.0017885753621492,Lysobacterales,n__cellular organisms__131567;sk__Bacteria__2;k__Pseudomonadati__3379134;p__Pseudomonadota__1224;c__Gammaproteobacteria__1236;o__Lysobacterales__135614,0.9988977654520984,0.9988977654520984,0.9988977654520984,0.9988977654520984,0.9988977654520984
ERR262943,338,genus,0.0017885753621492,Xanthomonas,n__cellular organisms__131567;sk__Bacteria__2;k__Pseudomonadati__3379134;p__Pseudomonadota__1224;c__Gammaproteobacteria__1236;o__Lysobacterales__135614;f__Lysobacteraceae__32033;g__Xanthomonas__338,0.9995098854276134,0.9995098854276134,0.9995098854276134,0.9995098854276134,0.9995098854276134
ERR262943,1236,class,0.8576233891549228,Gammaproteobacteria,n__cellular organisms__131567;sk__Bacteria__2;k__Pseudomonadati__3379134;p__Pseudomonadota__1224;c__Gammaproteobacteria__1236,0.9944666948313508,0.9944666948313508,0.9944666948313508,0.9944666948313508,0.9944666948313508
ERR262943,1783270,clade,0.111684256829402,FCB group,n__cellular organisms__131567;sk__Bacteria__2;cl__FCB group__1783270,0.0825287042384459,0.0825287042384459,0.0825287042384459,0.0825287042384459,0.0825287042384459
